orgname,selected_peers_concat
Loras College,Manchester College|Buena Vista University|Clarke University|Dordt College|University of Dubuque|Mount Mercy University|Augsburg College|Heidelberg University|Marietta College|Muskingum University
Lord Fairfax Community College,Blue Ridge Community College|Central Virginia Community College|Dabney S Lancaster Community College|Danville Community College|Eastern Shore Community College|Germanna Community College|J Sargeant Reynolds Community College|John Tyler Community College|Mountain Empire Community College|New River Community College|Northern Virginia Community College|Patrick Henry Community College|Paul D Camp Community College|Piedmont Virginia Community College|Rappahannock Community College|Southside Virginia Community College|Southwest Virginia Community College|Thomas Nelson Community College|Tidewater Community College|Virginia Highlands Community College|Virginia Western Community College|Wytheville Community College
Los Angeles County College of Nursing and Allied Health,Glendale Community College|Chaffey College|El Camino College-Compton Center|Cuesta College|Cypress College|East Los Angeles College|El Camino Community College District|Glendale Community College|Golden West College|Grossmont College|Hartnell College|Long Beach City College|Los Angeles Harbor College|Los Angeles Pierce College|Los Angeles Southwest College|Moorpark College|Pasadena City College|Santa Ana College|Rio Hondo College|Riverside City College|Saddleback College|San Diego City College|Santa Barbara City College|Santa Monica College|San Bernardino Valley College|Ventura College
Louisiana Delta Community College,South Arkansas Community College|Bossier Parish Community College|Nunez Community College|South Louisiana Community College|River Parishes Community College
Louisiana State University and Agricultural & Mechanical College,University of Arkansas|Colorado State University-Fort Collins|University of Georgia|University of Illinois at Urbana-Champaign|Iowa State University|University of Maryland-College Park|Mississippi State University|University of Nebraska-Lincoln|North Carolina State University at Raleigh|The University of Tennessee|Texas A & M University-College Station|Virginia Polytechnic Institute and State University|Purdue University-Main Campus
Louisiana State University at Alexandria,Dalton State College|Macon State College|Oklahoma Panhandle State University|Rogers State University|University of South Carolina-Aiken|University of South Carolina-Beaufort|Concord University|Glenville State College|West Virginia University at Parkersburg|Shepherd University
Louisiana State University Eunice,University of Arkansas Community College-Morrilton|Phillips Community College of the University of Arkansas|Honolulu Community College|Eastern New Mexico University-Roswell Campus|Lamar Institute of Technology
Louisiana Tech University,University of Alabama at Huntsville|Georgia Southern University|University of Maryland-Baltimore County|University of Mississippi Main Campus|Mississippi State University|Oklahoma State University-Main Campus|East Tennessee State University|University of Memphis|The University of Texas at Arlington|Old Dominion University
Loyola University Chicago,Loyola Marymount University|University of San Diego|University of San Francisco|Santa Clara University|University of Denver|American University|Catholic University of America|DePaul University|Illinois Institute of Technology|Tulane University of Louisiana|Saint Louis University-Main Campus|Creighton University|Fordham University|St John's University-New York|John Carroll University|Xavier University|Duquesne University|Villanova University|Marquette University
Loyola University Maryland,Loyola Marymount University|Santa Clara University|Fairfield University|Creighton University|Xavier University|Saint Joseph's University|Villanova University|Providence College|Gonzaga University
Loyola University New Orleans,Loyola Marymount University|Mills College|Santa Clara University|Fairfield University|Rollins College|Stetson University|Mercer University|Bradley University|Butler University|Valparaiso University|Drake University|Loyola University-Baltimore|Bentley University|Creighton University|The College of New Jersey|Elon University|John Carroll University|Xavier University|Villanova University|Providence College|Trinity University|James Madison University|University of Mary Washington
Lubbock Christian University,University of Mobile|Harding University|John Brown University|Ouachita Baptist University|University of the Southwest|Walsh University|Bacone College|Oklahoma Wesleyan University|Southern Nazarene University|Oklahoma Christian University|Oklahoma Baptist University|Oklahoma City University|Oral Roberts University|Saint Gregorys University|University of Tulsa|Cumberland University|Lipscomb University|Freed-Hardeman University|King College|Lane College|Lee University|Martin Methodist College|Southern Adventist University|Tennessee Wesleyan College|Trevecca Nazarene University|Union University|Abilene Christian University|Austin College|Concordia University-Texas|Dallas Baptist University|University of Dallas|East Texas Baptist University|Hardin-Simmons University|Houston Baptist University|Howard Payne University|Huston-Tillotson University|University of the Incarnate Word|Jarvis Christian College|LeTourneau University|University of Mary Hardin-Baylor|McMurry University|Our Lady of the Lake University-San Antonio|Saint Edward's University|University of St Thomas|Schreiner University|St Marys University|Southwestern Assemblies of God University|Southwestern University|Southwestern Adventist University|Texas Lutheran University|Texas Wesleyan University|Trinity University|Wayland Baptist University|Wiley College|Mid-America Christian University
Lurleen B Wallace Community College,J F Drake State Technical College|Jefferson Davis Community College|Alabama Southern Community College|Reid State Technical College|Snead State Community College|H Councill Trenholm State Technical College
Luther College,Augustana College|Illinois Wesleyan University|Coe College|Wartburg College|Alma College|Hope College|Concordia College at Moorhead|Gustavus Adolphus College|Saint Johns University|St Olaf College|Denison University|Wittenberg University|The College of Wooster|Gettysburg College|Lawrence University
Luzerne County Community College,Cumberland County College|Essex County College|Mercer County Community College|Lorain County Community College|Community College of Allegheny County|Community College of Beaver County|Bucks County Community College|Butler County Community College|Delaware County Community College|Harrisburg Area Community College-Harrisburg|Lehigh Carbon Community College|Montgomery County Community College-Central Campus|Northampton County Area Community College|Community College of Philadelphia|Reading Area Community College|Westmoreland County Community College|Cleveland State Community College|Pellissippi State Community College|Midland College|Pennsylvania Highlands Community College
Lycoming College,Hendrix College|Augustana College|Knox College|Cornell College|McDaniel College|Alma College|Kalamazoo College|Hartwick College|Guilford College|Hiram College|University of Mount Union|Ohio Wesleyan University|Allegheny College|Elizabethtown College|Juniata College|Moravian College and Moravian Theological Seminary|Muhlenberg College|Susquehanna University|Ursinus College|Washington & Jefferson College|Westminster College|Emory and Henry College|Randolph-Macon College|Roanoke College|Bethany College
Lynchburg College,Shorter University|Elon University|Queens University of Charlotte|Heidelberg University|University of Mount Union|Muskingum University|Albright College|Cabrini College|King's College|Charleston Southern University|Bridgewater College|Roanoke College|Shenandoah University|Virginia Wesleyan College
Lyndon State College,Athens State University|University of Arkansas at Pine Bluff|University of Arkansas at Monticello|Metropolitan State College of Denver|Lewis-Clark State College|Indiana University-Kokomo|Indiana University-East|University of Maine at Farmington|University of Maine at Fort Kent|University of Maine at Machias|Missouri Western State University|The University of Montana-Western|SUNY College at Old Westbury|Elizabeth City State University|University of Pittsburgh-Johnstown|University of South Carolina-Aiken|University of South Carolina-Upstate|Black Hills State University|Dakota State University|University of Houston-Downtown|Bluefield State College|Concord University|Fairmont State University|Glenville State College|Shepherd University|West Virginia State University|West Liberty University
Lyon College,Wesleyan College|The College of Idaho|Knox College|Monmouth College|Hanover College|Coe College|Centre College|Georgetown College|Transylvania University|Washington College|Alma College|Kalamazoo College|Millsaps College|Westminster College|Hastings College|Westminster College|Rhodes College|Austin College|Emory and Henry College|Randolph-Macon College|Beloit College|Ripon College
Macalester College,Claremont McKenna College|Occidental College|Pomona College|Scripps College|Colorado College|Connecticut College|Trinity College|Wesleyan University|Grinnell College|Bates College|Bowdoin College|Colby College|Amherst College|College of the Holy Cross|Mount Holyoke College|Smith College|Wellesley College|Williams College|Carleton College|Barnard College|Colgate University|Hamilton College|Sarah Lawrence College|Union College|Vassar College|Davidson College|Kenyon College|Oberlin College|Reed College|Bryn Mawr College|Bucknell University|Franklin and Marshall College|Haverford College|Lafayette College|Swarthmore College|Sewanee-The University of the South|Middlebury College|Washington and Lee University|Beloit College|Lawrence University
MacMurray College,Aurora University|Blackburn College|Bradley University|Eureka College|University of Illinois at Urbana-Champaign|Illinois Wesleyan University|Illinois College|Illinois State University|Lincoln Land Community College|McKendree University|Millikin University|Monmouth College|Quincy University|University of Illinois at Springfield|Southern Illinois University Carbondale|Southern Illinois University Edwardsville|Western Illinois University
Maine Maritime Academy,California Maritime Academy|Husson University|University of Maine|University of Southern Maine|Massachusetts Maritime Academy|SUNY Maritime College|Norwich University
Malone University,John Brown University|Azusa Pacific University|Biola University|California Baptist University|Fresno Pacific University|The Master's College and Seminary|Point Loma Nazarene University|Simpson University|Vanguard University of Southern California|Westmont College|Colorado Christian University|Palm Beach Atlantic University-West Palm Beach|Warner University|Northwest Nazarene University|Greenville College|Judson University|North Park University|Olivet Nazarene University|Trinity International University-Illinois|Wheaton College|Anderson University|Bethel College-Mishawaka|Goshen College|Grace College and Theological Seminary|Huntington University|Indiana Wesleyan University|University of Saint Francis-Fort Wayne|Taylor University|Northwestern College|Friends University|MidAmerica Nazarene University|Campbellsville University|Eastern Nazarene College|Gordon College|Calvin College|Cornerstone University|Siena Heights University|Spring Arbor University|Bethel University|Rockhurst University|Southwest Baptist University|Houghton College|Roberts Wesleyan College|Montreat College|Ashland University|Baldwin-Wallace College|Bluffton University|Cedarville University|The University of Findlay|John Carroll University|Mount Vernon Nazarene University|Ursuline College|Walsh University|Oklahoma Wesleyan University|Southern Nazarene University|Oklahoma Christian University|Oklahoma Baptist University|Oral Roberts University|George Fox University|Warner Pacific College|Corban University|Eastern University|Geneva College|Messiah College|Waynesburg University|University of Sioux Falls|Lipscomb University|Lee University|Milligan College|Trevecca Nazarene University|Union University|Abilene Christian University|Dallas Baptist University|East Texas Baptist University|LeTourneau University|Eastern Mennonite University|Seattle Pacific University|Whitworth University
Manchester College,Greenville College|Illinois College|Monmouth College|Franklin College|Goshen College|Hanover College|Huntington University|Saint Josephs College|Trine University|Adrian College|Olivet College|Bluffton University|Defiance College|Heidelberg University|Marietta College
Manchester Community College,Naugatuck Valley Community College|Norwalk Community College|Delaware Technical and Community College-Stanton-Wilmington|Prairie State College|Kansas City Kansas Community College|Frederick Community College|Howard Community College|Holyoke Community College|Raritan Valley Community College|Butler County Community College|Seattle Community College-North Campus
Manhattanville College,Whittier College|Connecticut College|Saint Joseph College|Bowdoin College|Colby College|Emerson College|Wheaton College|Alma College|Bard College|Dowling College|Elmira College|Hamilton College|Hartwick College|Molloy College|Mount Saint Mary College|College of Mount Saint Vincent|Nazareth College|The College of New Rochelle|The College of Saint Rose|Saint Thomas Aquinas College|Skidmore College|Saint John Fisher College|Vassar College|Wagner College
Manor College,Crowley's Ridge College|St Vincent's College|Andrew College|Gupton Jones College of Funeral Service|Young Harris College|MacCormac College|Springfield College in Illinois|Ancilla College|Holy Cross College|Saint Catharine College|Central Maine Medical Center College of Nursing and Health Professions|Bay State College|Laboure College|Lawrence Memorial Hospital School of Nursing|Marian Court College|American Academy McAllister Institute of Funeral Service|Phillips Beth Israel School of Nursing|Bramson ORT College|St Paul's School of Nursing-Queens|Cochran School of Nursing|Crouse Hospital School of Nursing|Ellis School of Nursing|Helene Fuld College of Nursing|Long Island College Hospital of Brooklyn School of Nursing|Maria College of Albany|Memorial Hospital School of Nursing|Dorothea Hopfer School of Nursing-Mt Vernon Hospital|St Joseph's College of Nursing at St Joseph's Hospital Health Center|Samaritan Hospital School of Nursing|Saint Elizabeth College of Nursing|St Paul's School of Nursing-Staten Island|Trocaire College|Villa Maria College|Louisburg College|Chatfield College|Good Samaritan College of Nursing & Health Science|Harcum College|Johnson College|Lackawanna College|Pittsburgh Institute of Mortuary Science Inc|Clinton Junior College|Spartanburg Methodist College|Hiwassee College|John A Gupton College|Landmark College|Southwest Florida College|City College-Casselberry|Urban College of Boston
Mansfield University of Pennsylvania,University of Montevallo|Henderson State University|Sonoma State University|Fort Lewis College|Eastern Connecticut State University|Georgia College & State University|University of Illinois at Springfield|University of Maine at Farmington|St Mary's College of Maryland|Massachusetts College of Liberal Arts|University of Minnesota-Morris|Truman State University|Keene State College|Ramapo College of New Jersey|SUNY at Geneseo|University of North Carolina at Asheville|University of Science and Arts of Oklahoma|Southern Oregon University|Midwestern State University|University of Mary Washington|The University of Virginia's College at Wise|The Evergreen State College|Shepherd University|University of Wisconsin-Superior|New College of Florida
Maranatha Baptist Bible College,Arizona Christian University|Clearwater Christian College|Crown College|Carroll University|Wisconsin Lutheran College
Marian University,Anderson University|Bethel College-Mishawaka|Calumet College of Saint Joseph|Grace College and Theological Seminary|Huntington University|Manchester College|Oakland City University|University of Saint Francis-Fort Wayne|Saint Josephs College|Saint Mary-of-the-Woods College
Marian University,University of Mobile|Dominican University of California|Fresno Pacific University|La Sierra University|Notre Dame de Namur University|Colorado Christian University|Saint Joseph College|Lynn University|Northwest Nazarene University|Concordia University-Chicago|Benedictine University|University of St Francis|Newman University|MidAmerica Nazarene University|Campbellsville University|Spalding University|Saint Joseph's College of Maine|American International College|Aquinas College|Cornerstone University|Siena Heights University|Avila University|Fontbonne University|William Woods University|Rivier College|Manhattanville College|Mount Saint Mary College|College of Mount Saint Vincent|Roberts Wesleyan College|Saint Thomas Aquinas College|Pfeiffer University|Malone University|College of Mount St. Joseph|University of Rio Grande|Walsh University|George Fox University|Cabrini College|Carlow University|Gwynedd Mercy College|Holy Family University|La Roche College|Misericordia University|Saint Francis University|LeTourneau University|Averett University|Wheeling Jesuit University|Edgewood College|Viterbo University
Marietta College,Augustana College|Simpson College|St Mary's College of Maryland|McDaniel College|Albion College|Saint Anselm College|Hartwick College|Wittenberg University|Saint Vincent College|Washington & Jefferson College|Roanoke College
Marion Military Institute,Wentworth Military Academy|New Mexico Military Institute
Marlboro College,Prescott College|Mills College|Naropa University|Connecticut College|Eckerd College|Knox College|Earlham College|College of the Atlantic|Colby College|St John's College|Clark University|Emerson College|Hampshire College|Mount Holyoke College|Smith College|Wheaton College|Franklin Pierce University|Alfred University|Long Island University-C W Post Campus|Marymount Manhattan College|Sarah Lawrence College|Skidmore College|Guilford College|Lewis & Clark College|Reed College|Bryn Mawr College|Rhodes College|Bennington College|Champlain College|Green Mountain College|Randolph College|The Evergreen State College|Beloit College|Lawrence University|St John's College
Marquette University,University of San Diego|University of San Francisco|University of Denver|American University|Catholic University of America|Howard University|Loyola University-Chicago|Clark University|Northeastern University|Saint Louis University-Main Campus|University of Tulsa|Duquesne University|Lehigh University|Southern Methodist University
Mars Hill College,Belmont Abbey College|Catawba College|Greensboro College|Lenoir-Rhyne University|Methodist University|Coker College|Erskine College and Seminary|Newberry College|Maryville College|Milligan College|Tusculum College|Emory and Henry College|Virginia Wesleyan College
Marshall University,University of South Alabama|University of Arkansas at Little Rock|University of Arkansas|University of Idaho|Southern Illinois University Edwardsville|Morehead State University|Oakland University|University of Mississippi Main Campus|University of Missouri-Kansas City|Southeast Missouri State University|East Carolina University|University of North Carolina at Greensboro|Western Carolina University|University of North Dakota|Wright State University-Main Campus|West Chester University of Pennsylvania|University of South Dakota|East Tennessee State University|Eastern Washington University|University of Wyoming
Marshalltown Community College,Des Moines Area Community College|Ellsworth Community College|Eastern Iowa Community College District|Hawkeye Community College|Indian Hills Community College|Iowa Central Community College|Iowa Lakes Community College|Iowa Western Community College|Kirkwood Community College|North Iowa Area Community College|Northeast Iowa Community College-Calmar|Northwest Iowa Community College|Southeastern Community College|Southwestern Community College|Western Iowa Tech Community College
Martin Luther College,Blackburn College|Principia College|Rockford College|Goshen College|Iowa Wesleyan College|Ashford University|Waldorf College|Tabor College|Bethany Lutheran College|North Central University|Northwestern College|Crown College|Westminster College|Midland University|Dakota Wesleyan University|Presentation College|Beloit College|Maranatha Baptist Bible College|Northland College|Ripon College|Wisconsin Lutheran College
Marygrove College,Adrian College|Albion College|Alma College|Andrews University|Aquinas College|Calvin College|Hope College|Kalamazoo College|Madonna University|Olivet College|Siena Heights University|Spring Arbor University
Marymount College,San Diego Christian College|Holy Names University|John F Kennedy University|American Jewish University|Menlo College|Hope International University|Simpson University|Thomas Aquinas College|Westmont College|Woodbury University
Marymount Manhattan College,Chapman University|The University of Tampa|Georgia State University|DePaul University|Stevenson University|Boston University|Emerson College|University of Massachusetts-Boston|Suffolk University|Western New England University|Franklin Pierce University|Montclair State University|Rutgers University-New Brunswick|Adelphi University|CUNY City College|CUNY Hunter College|Fashion Institute of Technology|Fordham University|Hofstra University|Ithaca College|Long Island University-C W Post Campus|Manhattan College|Manhattanville College|Molloy College|The New School|New York University|Pace University-New York|The College of Saint Rose|St John's University-New York|SUNY at Purchase College|SUNY College at Old Westbury|Syracuse University|Wagner College|Guilford College|Hiram College|Carnegie Mellon University|Chatham University|Delaware Valley College|Lycoming College|Point Park University|Temple University|Wilkes University|Rhode Island College
Marymount University,California Baptist University|Fresno Pacific University|Saint Marys College of California|Vanguard University of Southern California|Sacred Heart University|Lewis University|McKendree University|University of Indianapolis|MidAmerica Nazarene University|Loyola University-New Orleans|Bethel University|Fontbonne University|College of Mount Saint Vincent|Otterbein University|Concordia University-Portland|Cabrini College|Chestnut Hill College|Neumann University|Concordia University-Texas
Maryville College,Birmingham Southern College|Huntingdon College|Eckerd College|LaGrange College|Centre College|Georgetown College|Washington & Jefferson College|Presbyterian College|Tusculum College|Emory and Henry College|Randolph-Macon College|Roanoke College
Maryville University of Saint Louis,Bradley University|Lewis University|Butler University|University of Evansville|University of Indianapolis|Valparaiso University|Drake University|Bellarmine University|Hamline University|Drury University|Rockhurst University|Creighton University|Elon University|Capital University|John Carroll University|Arcadia University|Belmont University|Saint Edward's University
Marywood University,DeSales University|Alvernia University|Arcadia University|Cabrini College|Carlow University|Chatham University|Chestnut Hill College|Gannon University|Gwynedd Mercy College|Holy Family University|King's College|La Roche College|Mercyhurst College|Misericordia University|Neumann University|Philadelphia University|Philadelphia Biblical University-Langhorne|Point Park University|Robert Morris University|Saint Francis University|Saint Joseph's University|University of Scranton|Villanova University|Waynesburg University|Wilkes University
Massachusetts College of Liberal Arts,University of Montevallo|Henderson State University|Sonoma State University|Fort Lewis College|Eastern Connecticut State University|Georgia College & State University|University of Illinois at Springfield|University of Maine at Farmington|St Mary's College of Maryland|University of Minnesota-Morris|Truman State University|Keene State College|Ramapo College of New Jersey|SUNY at Geneseo|University of North Carolina at Asheville|University of Science and Arts of Oklahoma|Southern Oregon University|Midwestern State University|University of Mary Washington|The University of Virginia's College at Wise|The Evergreen State College|Shepherd University|University of Wisconsin-Superior|New College of Florida
Massachusetts Institute of Technology,California Institute of Technology|Yale University|Harvard University|Princeton University|Cornell University|Carnegie Mellon University|Stanford University
McDaniel College,Birmingham Southern College|Whittier College|Lake Forest College|Coe College|Cornell College|Luther College|Georgetown College|Goucher College|Gordon College|Albion College|Alma College|Gustavus Adolphus College|Millsaps College|Nebraska Wesleyan University|Hartwick College|Wittenberg University|Juniata College|Lebanon Valley College|Susquehanna University|Washington & Jefferson College|Westminster College|Presbyterian College|Roanoke College
McHenry County College,Elgin Community College|Joliet Junior College|Kishwaukee College|College of Lake County|Oakton Community College|Prairie State College|Rock Valley College|South Suburban College|Waubonsee Community College|Harper College
McKendree University,East-West University|Elmhurst College|Greenville College|Illinois College|Judson University|Millikin University|Trinity Christian College|Bethel College-Mishawaka|Calumet College of Saint Joseph|Franklin College|Grace College and Theological Seminary|Manchester College|Marian University|Saint Mary-of-the-Woods College|Saint Mary's College|Taylor University|Trine University|Calvin College|Bluffton University|Cedarville University|Defiance College|Lourdes College|Marietta College|University of Mount Union|Mount Vernon Nazarene University|Ohio Dominican University|Ohio Northern University|Otterbein University|Urbana University|Wilberforce University|Wilmington College|Alverno College|Carroll University|Lakeland College|Saint Norbert College
McLennan Community College,Amarillo College|Angelina College|Blinn College|Central Texas College|North Central Texas College|Del Mar College|Trinity Valley Community College|Hill College|Kilgore College|Laredo Community College|Lee College|Midland College|Navarro College|Odessa College|South Plains College|Temple College|Texas State Technical College Waco|Tyler Junior College|Wharton County Junior College
McMurry University,University of the Ozarks|Louisiana College|Millsaps College|Mississippi College|Austin College|Concordia University-Texas|East Texas Baptist University|Hardin-Simmons University|Howard Payne University|LeTourneau University|University of Mary Hardin-Baylor|Schreiner University|Southwestern University|Texas Lutheran University|Texas Wesleyan University
McPherson College,University of La Verne|Manchester College|Baker University|Benedictine College|Bethany College|Bethel College-North Newton|Central Christian College of Kansas|Donnelly College|Friends University|Hesston College|Newman University|Kansas Wesleyan University|MidAmerica Nazarene University|Ottawa University-Ottawa|University of Saint Mary|Southwestern College|Sterling College|Tabor College|Stevenson University|Mount Holyoke College|Nichols College|Sarah Lawrence College|Elizabethtown College|Juniata College|Lafayette College|Bridgewater College|Sweet Briar College|Beloit College
Menlo College,California State University-East Bay|Chapman University|Dominican University of California|Holy Names University|Mills College|Notre Dame de Namur University|San Francisco State University|University of San Francisco|San Jose State University|Santa Clara University
Mercer County Community College,Anne Arundel Community College|Prince George's Community College|Bergen Community College|Brookdale Community College|Camden County College|Middlesex County College|Union County College|CUNY Borough of Manhattan Community College|CUNY Kingsborough Community College|CUNY LaGuardia Community College|CUNY Queensborough Community College|Hudson Valley Community College|Monroe Community College|SUNY Westchester Community College|Community College of Allegheny County|Bucks County Community College|Delaware County Community College|Montgomery County Community College-Central Campus
Mercer University,Samford University|Chapman University|University of the Pacific|Pepperdine University|Stetson University|Creighton University|Fordham University|Villanova University|Gonzaga University|Seattle University
Mercy College,Dominican College of Blauvelt|Dowling College|Iona College|Molloy College|Monroe College-Main Campus|Monroe College-New Rochelle|The College of New Rochelle|New York Institute of Technology|Nyack College|Pace University-New York|Saint Thomas Aquinas College|Touro College|The College of Westchester
Meredith College,Mount St Mary's College|Elmhurst College|Goucher College|Hood College|Simmons College|Wagner College|Elon University|Wittenberg University|Lewis & Clark College|Mary Baldwin College|Whitworth University|Alverno College
Meridian Community College,Coahoma Community College|Copiah-Lincoln Community College|East Central Community College|East Mississippi Community College|Hinds Community College|Holmes Community College|Itawamba Community College|Jones County Junior College|Mississippi Delta Community College|Mississippi Gulf Coast Community College|Northeast Mississippi Community College|Northwest Mississippi Community College|Pearl River Community College|Southwest Mississippi Community College
Merrimack College,Fairfield University|Quinnipiac University|Assumption College|Bentley University|Emmanuel College|Endicott College|Stonehill College|Suffolk University|Saint Anselm College|Bryant University|Providence College|Roger Williams University|Salve Regina University|Saint Michael's College
Mesa State College,Fort Lewis College|Metropolitan State College of Denver|Colorado State University-Pueblo|Western State College of Colorado|University of Hawaii at Hilo|University of Hawaii-West Oahu|Lewis-Clark State College|The University of Montana-Western|Peru State College|Dickinson State University|Mayville State University|Valley City State University|Cameron University|Langston University|Oklahoma Panhandle State University|University of Science and Arts of Oklahoma|Eastern Oregon University|Black Hills State University|Dakota State University|The Evergreen State College
Mesalands Community College,Reid State Technical College|Prince William Sound Community College|Southwest Georgia Technical College|Washington County Community College|Rainy River Community College|Nebraska College of Technical Agriculture|Martin Community College|Mayland Community College|Montgomery Community College|Pamlico Community College|Eastern Shore Community College|York County Community College|Columbia Gorge Community College|Oregon Coast Community College|Klamath Community College
Messiah College,Wheaton College|Taylor University|Valparaiso University|Luther College|McDaniel College|Gordon College|Calvin College|Hope College|Bethel University|Gustavus Adolphus College|Houghton College|Roberts Wesleyan College|Cedarville University|George Fox University|Albright College|Allegheny College|Eastern University|Elizabethtown College|Geneva College|Gettysburg College|Grove City College|Lebanon Valley College|Mercyhurst College|Muhlenberg College|University of Scranton|Susquehanna University|York College Pennsylvania|Abilene Christian University|Eastern Mennonite University|Liberty University|Pacific Lutheran University|Seattle Pacific University|Whitworth University
Methodist University,Florida Southern College|Campbell University|Davidson College|Elon University|Guilford College|High Point University|Lenoir-Rhyne University|Queens University of Charlotte|Wingate University|Presbyterian College|Wofford College|Maryville College|Lynchburg College|Randolph-Macon College|Roanoke College|Shenandoah University
Metropolitan State College of Denver,California State University-San Bernardino|California State University-Chico|California State University-Fresno|Kennesaw State University|University of Northern Iowa|Eastern Michigan University|Saint Cloud State University|Appalachian State University|University of Central Oklahoma|College of Charleston|University of Houston-Downtown|James Madison University|Western Washington University
Metropolitan State University,California State University-Dominguez Hills|Metropolitan State College of Denver|Governors State University|Northeastern Illinois University|University of Illinois at Springfield|University of Baltimore|SUNY Empire State College|University of Houston-Clear Lake
Miami Dade College,Glendale Community College|Mesa Community College|Pima Community College|Rio Salado College|American River College|College of the Canyons|Cerritos College|City College of San Francisco|De Anza College|Diablo Valley College|East Los Angeles College|El Camino Community College District|Fresno City College|Fullerton College|Long Beach City College|Los Angeles Pierce College|Los Angeles Valley College|Los Angeles City College|Mt. San Antonio College|Orange Coast College|Palomar College|Pasadena City College|Santa Ana College|Rio Hondo College|Riverside City College|Sacramento City College|Saddleback College|San Diego Mesa College|Santa Monica College|Santa Rosa Junior College|Broward College|Florida State College at Jacksonville|Hillsborough Community College|Palm Beach State College|St Petersburg College|Santa Fe College|Valencia Community College|College of DuPage|Moraine Valley Community College|Ivy Tech Community College-Central Indiana|Kirkwood Community College|Johnson County Community College|Anne Arundel Community College|Montgomery College|Delta College|Wayne County Community College District|Saint Louis Community College-Meramec|College of Southern Nevada|Central New Mexico Community College|CUNY Borough of Manhattan Community College|CUNY Bronx Community College|CUNY Kingsborough Community College|CUNY LaGuardia Community College|CUNY Queensborough Community College|Monroe Community College|Nassau Community College|Central Piedmont Community College|Columbus State Community College|Cuyahoga Community College District|Owens Community College|Sinclair Community College|Tulsa Community College|Lane Community College|Portland Community College|Community College of Allegheny County|Harrisburg Area Community College-Harrisburg|Austin Community College District|Central Texas College|El Paso Community College|Houston Community College|Lone Star College System|Richland College|San Antonio College|San Jacinto Community College|Tarrant County College District|Northern Virginia Community College|Tidewater Community College|Seattle Community College-Central Campus|Georgia Perimeter College|Collin County Community College District|Suffolk County Community College|South Texas College|The Community College of Baltimore County
Miami University-Hamilton,University of Akron Wayne College|Bowling Green State University-Firelands|University of Cincinnati-Clermont College|University of Cincinnati-Raymond Walters College|Kent State University at Ashtabula|Kent State University at East Liverpool|Kent State University at Stark|Kent State University at Trumbull|Kent State University at Tuscarawas|Kent State University at Salem|Kent State University at Geauga|Ohio State University-Lima Campus|Ohio State University-Mansfield Campus|Ohio State University-Marion Campus|Ohio State University-Newark Campus|Ohio University-Eastern Campus|Ohio University-Chillicothe Campus|Ohio University-Southern Campus|Ohio University-Lancaster Campus|Ohio University-Zanesville Campus|Wright State University-Lake Campus
Miami University-Middletown,University of Akron Wayne College|Bowling Green State University-Firelands|University of Cincinnati-Clermont College|University of Cincinnati-Raymond Walters College|Kent State University at Ashtabula|Kent State University at East Liverpool|Kent State University at Stark|Kent State University at Trumbull|Kent State University at Tuscarawas|Kent State University at Salem|Kent State University at Geauga|Ohio State University-Lima Campus|Ohio State University-Mansfield Campus|Ohio State University-Marion Campus|Ohio State University-Newark Campus|Ohio University-Eastern Campus|Ohio University-Chillicothe Campus|Ohio University-Southern Campus|Ohio University-Lancaster Campus|Ohio University-Zanesville Campus|Wright State University-Lake Campus
Miami University-Oxford,The University of Alabama|Auburn University|Northern Arizona University|University of California-Santa Cruz|University of Connecticut|University of Delaware|Indiana University-Bloomington|University of Louisville|University of Mississippi Main Campus|SUNY at Binghamton|University of North Carolina at Chapel Hill|University of North Carolina at Greensboro|Bowling Green State University-Main Campus|Kent State University at Kent|Ohio State University-Main Campus|Ohio University-Main Campus|University of Oklahoma Norman Campus|University of Oregon|University of Rhode Island|Clemson University|University of Vermont|College of William and Mary|George Mason University|University of Virginia-Main Campus|University of Wyoming
Michigan State University,University of Arizona|University of California-Berkeley|University of California-Davis|University of California-Irvine|University of California-Los Angeles|University of California-San Diego|University of California-Santa Barbara|University of Florida|University of Illinois at Urbana-Champaign|Northwestern University|Indiana University-Bloomington|Iowa State University|University of Iowa|University of Maryland-College Park|University of Michigan-Ann Arbor|University of Minnesota-Twin Cities|University of Missouri-Columbia|University of Nebraska-Lincoln|Rutgers University-New Brunswick|Ohio State University-Main Campus|Pennsylvania State University-Main Campus|Texas A & M University-College Station|University of Wisconsin-Madison|Purdue University-Main Campus
Michigan Technological University,Colorado School of Mines|Louisiana Tech University|New Jersey Institute of Technology|New Mexico Institute of Mining and Technology
Mid Michigan Community College,Kaskaskia College|Alpena Community College|Bay de Noc Community College|Delta College|Glen Oaks Community College|Gogebic Community College|Jackson Community College|Kellogg Community College|Lake Michigan College|Monroe County Community College|Montcalm Community College|Muskegon Community College|North Central Michigan College|Northwestern Michigan College|St Clair County Community College|Southwestern Michigan College|West Shore Community College|Lorain County Community College|Northwest State Community College|Fox Valley Technical College|Gateway Technical College|Lakeshore Technical College|Mid-State Technical College|Moraine Park Technical College|Waukesha County Technical College|Western Technical College|Wisconsin Indianhead Technical College
Mid-Atlantic Christian University,Hope International University|Atlanta Christian College|Kentucky Christian University|Milligan College
